==> ../CT10/000/ci0049.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   5.392e+00   -6.266e+00  5.392e+00 -6.266e+00
  1.000  0.500	   4.774e+00   -3.833e+00  4.774e+00 -3.833e+00
  2.000  0.500	   4.284e+00   -2.217e+00  4.284e+00 -2.217e+00
  0.500  1.000	   5.783e+00   -7.805e+00  5.783e+00 -7.805e+00
  1.000  1.000	   5.120e+00   -4.919e+00  5.120e+00 -4.919e+00
  2.000  1.000	   4.595e+00   -3.049e+00  4.595e+00 -3.049e+00
  0.500  2.000	   6.260e+00   -9.352e+00  6.260e+00 -9.352e+00
  1.000  2.000	   5.542e+00   -6.122e+00  5.542e+00 -6.122e+00
  2.000  2.000	   4.975e+00   -3.799e+00  4.975e+00 -3.799e+00
==> ../CT10/000/ci0056.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   4.498e+00   -5.192e+00  4.498e+00 -5.192e+00
  1.000  0.500	   3.995e+00   -3.207e+00  3.995e+00 -3.207e+00
  2.000  0.500	   3.593e+00   -1.882e+00  3.593e+00 -1.882e+00
  0.500  1.000	   4.862e+00   -6.136e+00  4.862e+00 -6.136e+00
  1.000  1.000	   4.317e+00   -3.898e+00  4.317e+00 -3.898e+00
  2.000  1.000	   3.884e+00   -2.368e+00  3.884e+00 -2.368e+00
  0.500  2.000	   5.220e+00   -7.183e+00  5.220e+00 -7.183e+00
  1.000  2.000	   4.637e+00   -4.679e+00  4.637e+00 -4.679e+00
  2.000  2.000	   4.172e+00   -3.018e+00  4.172e+00 -3.018e+00
==> ../CT10/000/ci0064.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   4.460e+00   -4.262e+00  4.460e+00 -4.262e+00
  1.000  0.500	   3.973e+00   -2.521e+00  3.973e+00 -2.521e+00
  2.000  0.500	   3.585e+00   -1.353e+00  3.585e+00 -1.353e+00
  0.500  1.000	   4.669e+00   -5.280e+00  4.669e+00 -5.280e+00
  1.000  1.000	   4.159e+00   -3.299e+00  4.159e+00 -3.299e+00
  2.000  1.000	   3.751e+00   -1.960e+00  3.751e+00 -1.960e+00
  0.500  2.000	   4.907e+00   -5.881e+00  4.907e+00 -5.881e+00
  1.000  2.000	   4.372e+00   -3.613e+00  4.372e+00 -3.613e+00
