==> ../CT10/000/ci0507.txt
    mur    muf    LO (pb)   LO (CIX)   LO (CIS)   NLO (pb)  NLO (CIX)  NLO (CIS)
  0.500  0.500  2.309E-01  2.309e-01  2.309e-01  1.009E-01  1.009e-01  1.009e-01
  0.500  1.000  2.147E-01  2.147e-01  2.147e-01  1.093E-01  1.093e-01  1.093e-01
  1.000  0.500  2.148E-01  2.148e-01  2.148e-01  1.189E-01  1.189e-01  1.189e-01
  1.000  1.000  1.998E-01  1.998e-01  1.998e-01  1.238E-01  1.238e-01  1.238e-01
  1.000  2.000  1.866E-01  1.866e-01  1.866e-01  1.278E-01  1.278e-01  1.278e-01
  2.000  1.000  1.872E-01  1.872e-01  1.871e-01  1.331E-01  1.331e-01  1.331e-01
  2.000  2.000  1.749E-01  1.749e-01  1.749e-01  1.349E-01  1.349e-01  1.349e-01
==> ../CT10/000/ci1497.txt
    mur    muf    LO (pb)   LO (CIX)   LO (CIS)   NLO (pb)  NLO (CIX)  NLO (CIS)
  0.500  0.500  9.131E-03  9.131e-03  9.131e-03  6.237E-03  6.237e-03  6.237e-03
  0.500  1.000  7.856E-03  7.856e-03  7.856e-03  6.541E-03  6.541e-03  6.541e-03
  1.000  0.500  8.831E-03  8.831e-03  8.831e-03  6.496E-03  6.496e-03  6.496e-03
  1.000  1.000  7.596E-03  7.596e-03  7.596e-03  6.642E-03  6.642e-03  6.642e-03
  1.000  2.000  6.606E-03  6.606e-03  6.606e-03  6.703E-03  6.703e-03  6.703e-03
  2.000  1.000  7.374E-03  7.374e-03  7.374e-03  6.696E-03  6.696e-03  6.696e-03
  2.000  2.000  6.411E-03  6.411e-03  6.411e-03  6.663E-03  6.663e-03  6.663e-03
