 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.61421478410E+07    2.44393774189E+07
  21.00   24.00    1.38592691080E+07    1.25320867071E+07
  24.00   28.00    7.31484734661E+06    6.69994547007E+06
  28.00   32.00    3.79947147898E+06    3.54964456266E+06
  32.00   37.00    2.00710857986E+06    1.88322824954E+06
  37.00   43.00    1.00949509970E+06    9.62963210273E+05
  43.00   49.00    5.17946203599E+05    4.91341097791E+05
  49.00   56.00    2.74983746057E+05    2.64277155157E+05
  56.00   64.00    1.43676965271E+05    1.39950774564E+05
  64.00   74.00    7.23432207694E+04    7.02871120051E+04
  74.00   84.00    3.64976489411E+04    3.56456699156E+04
  84.00   97.00    1.83906476485E+04    1.81533671517E+04
  97.00   114.0    8.37954253450E+03    8.31011006637E+03
  114.0   133.0    3.64531824588E+03    3.64182549768E+03
  133.0   153.0    1.65103635566E+03    1.66512554123E+03
  153.0   174.0    7.91135010673E+02    8.01205968811E+02
  174.0   196.0    3.97215643760E+02    4.05386690652E+02
  196.0   220.0    2.04931094989E+02    2.10412094252E+02
  220.0   245.0    1.08041572196E+02    1.11624844960E+02
  245.0   272.0    5.82947990593E+01    6.06291031819E+01
  272.0   300.0    3.20468730092E+01    3.34774353897E+01
  300.0   330.0    1.79657258531E+01    1.88319425930E+01
  330.0   362.0    1.01525715448E+01    1.07162400407E+01
  362.0   395.0    5.82902752086E+00    6.18662085063E+00
  395.0   430.0    3.40185893876E+00    3.62854063291E+00
  430.0   468.0    1.98580409456E+00    2.12908700491E+00
  468.0   507.0    1.16652705856E+00    1.25856149568E+00
  507.0   548.0    6.95266602925E-01    7.55764040172E-01
  548.0   592.0    4.14744534782E-01    4.52776202461E-01
  592.0   638.0    2.47436132094E-01    2.71851182699E-01
  638.0   686.0    1.48557804256E-01    1.64069014583E-01
  686.0   737.0    8.92829363405E-02    9.94138347903E-02
  737.0   790.0    5.36392496227E-02    6.00096264286E-02
  790.0   846.0    3.22248549396E-02    3.63340374928E-02
  846.0   905.0    1.92580673461E-02    2.18589032811E-02
  905.0   967.0    1.14440506126E-02    1.30959715525E-02
  967.0   1032.    6.75878431165E-03    7.79113278667E-03
  1032.   1101.    3.94963128789E-03    4.59385526855E-03
  1101.   1172.    2.28831774693E-03    2.68413524393E-03
  1172.   1248.    1.31077229797E-03    1.55026144254E-03
  1248.   1327.    7.36501652301E-04    8.79780890630E-04
  1327.   1410.    4.07589885534E-04    4.91793918654E-04
  1410.   1497.    2.20763319058E-04    2.69500781868E-04
  1497.   1588.    1.16795041570E-04    1.43968422338E-04
  1588.   1784.    4.46834736887E-05    5.59203190428E-05
  1784.   2116.    7.75879689056E-06    9.97114712817E-06
  2116.   2500.    5.86853212972E-07    7.82053591730E-07
  2500.   3000.    2.10650370060E-08    2.91857971410E-08
