 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.81551991979E+07    2.18578213785E+07
  21.00   24.00    9.78580780993E+06    1.14483767761E+07
  24.00   28.00    5.23628976912E+06    6.14308661207E+06
  28.00   32.00    2.75852327710E+06    3.25906589472E+06
  32.00   37.00    1.47737299749E+06    1.74214715317E+06
  37.00   43.00    7.53015660470E+05    8.93492962871E+05
  43.00   49.00    3.91067793605E+05    4.60019787307E+05
  49.00   56.00    2.09909981146E+05    2.48122276611E+05
  56.00   64.00    1.10809688212E+05    1.31744773212E+05
  64.00   74.00    5.64256794253E+04    6.66670818574E+04
  74.00   84.00    2.88030971809E+04    3.40296668057E+04
  84.00   97.00    1.46863047351E+04    1.74257376550E+04
  97.00   114.0    6.78722919403E+03    8.04966472025E+03
  114.0   133.0    2.99688458467E+03    3.55968693246E+03
  133.0   153.0    1.37566336316E+03    1.64015396691E+03
  153.0   174.0    6.68159211091E+02    7.96742385333E+02
  174.0   196.0    3.39979678348E+02    4.06752924248E+02
  196.0   220.0    1.77778139445E+02    2.13179363257E+02
  220.0   245.0    9.49342744794E+01    1.14136482111E+02
  245.0   272.0    5.17844231038E+01    6.24608639840E+01
  272.0   300.0    2.87547297742E+01    3.47392536389E+01
  300.0   330.0    1.62743233366E+01    1.96838949539E+01
  330.0   362.0    9.28504895477E+00    1.12756907190E+01
  362.0   395.0    5.37914147717E+00    6.55178475271E+00
  395.0   430.0    3.16454520063E+00    3.86502364509E+00
  430.0   468.0    1.85846667912E+00    2.27655152689E+00
  468.0   507.0    1.09683317619E+00    1.34896988266E+00
  507.0   548.0    6.56428039109E-01    8.11318019529E-01
  548.0   592.0    3.92920175060E-01    4.86925227576E-01
  592.0   638.0    2.34892990914E-01    2.92362340315E-01
  638.0   686.0    1.41105281669E-01    1.76234651048E-01
  686.0   737.0    8.47740953148E-02    1.06512106519E-01
  737.0   790.0    5.08314926812E-02    6.40718308287E-02
  790.0   846.0    3.04585078280E-02    3.86152462749E-02
  846.0   905.0    1.81359781324E-02    2.31052420415E-02
  905.0   967.0    1.07219853576E-02    1.37437395298E-02
  967.0   1032.    6.29629280416E-03    8.11433525487E-03
  1032.   1101.    3.65424125339E-03    4.74169695700E-03
  1101.   1172.    2.10077419758E-03    2.74351378534E-03
  1172.   1248.    1.19304547415E-03    1.56800738950E-03
  1248.   1327.    6.64150184258E-04    8.79591047329E-04
  1327.   1410.    3.63910970209E-04    4.85755996708E-04
  1410.   1497.    1.95035632715E-04    2.62736031854E-04
  1497.   1588.    1.02031933626E-04    1.38508924460E-04
  1588.   1784.    3.83125261422E-05    5.26567483826E-05
  1784.   2116.    6.38136702437E-06    8.97697264942E-06
  2116.   2500.    4.33813770115E-07    6.33110295259E-07
  2500.   3000.    1.20215730268E-08    1.83947288063E-08
