 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.41040176739E+07    2.24088190603E+07
  21.00   24.00    1.29595864576E+07    1.16403072564E+07
  24.00   28.00    6.92376030178E+06    6.31107514013E+06
  28.00   32.00    3.63843230153E+06    3.37895563871E+06
  32.00   37.00    1.94197105915E+06    1.81302650437E+06
  37.00   43.00    9.86825371018E+05    9.36632925147E+05
  43.00   49.00    5.11192503645E+05    4.82524718660E+05
  49.00   56.00    2.73759514558E+05    2.61802525186E+05
  56.00   64.00    1.44301745062E+05    1.39926361976E+05
  64.00   74.00    7.33446464160E+04    7.08950248544E+04
  74.00   84.00    3.73628886862E+04    3.63115333771E+04
  84.00   97.00    1.90103033474E+04    1.86717619952E+04
  97.00   114.0    8.76063593665E+03    8.64526377174E+03
  114.0   133.0    3.85781554581E+03    3.83440588540E+03
  133.0   153.0    1.76744670221E+03    1.77356387084E+03
  153.0   174.0    8.56274667362E+02    8.62783584319E+02
  174.0   196.0    4.34301899012E+02    4.41033108035E+02
  196.0   220.0    2.26086971868E+02    2.31000412586E+02
  220.0   245.0    1.20192081822E+02    1.23585985181E+02
  245.0   272.0    6.53034761030E+01    6.76154220022E+01
  272.0   300.0    3.60959430070E+01    3.75450697007E+01
  300.0   330.0    2.03520417096E+01    2.12500540526E+01
  330.0   362.0    1.15639727046E+01    1.21619768485E+01
  362.0   395.0    6.66813827002E+00    7.05367523873E+00
  395.0   430.0    3.90298532830E+00    4.15104453085E+00
  430.0   468.0    2.27985721326E+00    2.43824406983E+00
  468.0   507.0    1.33834321832E+00    1.44101745174E+00
  507.0   548.0    7.97675950383E-01    8.65619609740E-01
  548.0   592.0    4.75034248446E-01    5.18013103832E-01
  592.0   638.0    2.82571747871E-01    3.10257850694E-01
  638.0   686.0    1.68902135231E-01    1.86490410606E-01
  686.0   737.0    1.00920063112E-01    1.12385618496E-01
  737.0   790.0    6.02491971286E-02    6.74435456641E-02
  790.0   846.0    3.59312406256E-02    4.05515906436E-02
  846.0   905.0    2.12914530248E-02    2.41980935873E-02
  905.0   967.0    1.25360834063E-02    1.43677026889E-02
  967.0   1032.    7.32910207194E-03    8.46265253745E-03
  1032.   1101.    4.23723654878E-03    4.93756259117E-03
  1101.   1172.    2.42687376352E-03    2.85215384763E-03
  1172.   1248.    1.37390460873E-03    1.62833269386E-03
  1248.   1327.    7.62870540023E-04    9.13087821261E-04
  1327.   1410.    4.17297151089E-04    5.04537621402E-04
  1410.   1497.    2.23480682918E-04    2.73367587507E-04
  1497.   1588.    1.16953074590E-04    1.44461072173E-04
  1588.   1784.    4.40387893988E-05    5.52531230358E-05
  1784.   2116.    7.39890165000E-06    9.55887079912E-06
  2116.   2500.    5.06496020345E-07    6.86246788722E-07
  2500.   3000.    1.29250865112E-08    1.88406970221E-08
